""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"540"	6.04634126036272e-264	0.977548497893262	0.743	0.301	1.20926825207254e-260	"11"	"Ogn"
"541"	5.50537303311757e-262	0.751228797212057	0.905	0.693	1.10107460662351e-258	"11"	"Cdkn1a"
"542"	9.05769950968151e-261	0.55086341623679	0.791	0.462	1.8115399019363e-257	"11"	"Klf4"
"543"	9.45964995234608e-249	0.973923808770921	0.809	0.475	1.89192999046922e-245	"11"	"Egr1"
"544"	3.10523011138458e-248	0.568092785407433	0.825	0.41	6.21046022276916e-245	"11"	"Atf3"
"545"	5.48477538329627e-245	0.812908571270747	0.91	0.63	1.09695507665925e-241	"11"	"Jun"
"546"	5.56346080619982e-239	0.92085272192815	0.725	0.369	1.11269216123996e-235	"11"	"Egfl8"
"547"	1.41958024761507e-233	0.60139455154593	0.791	0.493	2.83916049523014e-230	"11"	"Hspa1b"
"548"	6.68435528681128e-204	1.01265522305332	0.639	0.206	1.33687105736226e-200	"11"	"Cldn19"
"549"	4.63589614267443e-193	0.701364692227782	0.589	0.17	9.27179228534886e-190	"11"	"Emid1"
"550"	3.92707382861022e-184	0.553801203049886	0.641	0.284	7.85414765722044e-181	"11"	"Angptl4"
"551"	3.01594506035411e-161	0.575061152665359	0.721	0.43	6.03189012070822e-158	"11"	"Vwa1"
"552"	1.44227527363551e-149	0.516911465973747	0.741	0.461	2.88455054727101e-146	"11"	"S100a4"
"553"	3.25918985163044e-144	0.591875997940817	0.626	0.278	6.51837970326089e-141	"11"	"Csrp2"
"554"	2.1116012111738e-127	1.27296032381074	0.577	0.217	4.2232024223476e-124	"11"	"Gjb1"
"555"	1.24180645152893e-121	0.562316146332771	0.812	0.592	2.48361290305786e-118	"11"	"Zfp36"
"556"	2.74925391117558e-103	0.835116876905817	0.585	0.208	5.49850782235117e-100	"11"	"Ugt8a"
"557"	2.90775052120973e-98	0.652924600312824	0.697	0.499	5.81550104241946e-95	"11"	"Ppp1r15a"
"558"	1.67837039528621e-89	0.723698024830178	0.835	0.681	3.35674079057243e-86	"11"	"Junb"
"559"	1.64300418635548e-61	0.563106607837826	0.617	0.388	3.28600837271097e-58	"11"	"Rgcc"
"560"	1.50556782974481e-40	0.585639521615586	0.48	0.236	3.01113565948962e-37	"11"	"Hes1"
"561"	9.6707711137747e-34	0.584086314402713	0.488	0.174	1.93415422275494e-30	"11"	"Mlip"
"562"	7.34290403016587e-23	0.560048331329944	0.517	0.261	1.46858080603317e-19	"11"	"Mfap5"
"563"	1.64140298661152e-16	0.533038251714133	0.484	0.23	3.28280597322303e-13	"11"	"Sema5a"
"564"	0	2.89356076086785	0.963	0.541	0	"12"	"Igfbp6"
"565"	0	1.89863444316242	0.924	0.463	0	"12"	"Serping1"
"566"	0	1.84730239854148	0.869	0.507	0	"12"	"Smoc2"
"567"	0	1.7869287719584	0.627	0.33	0	"12"	"Sfrp5"
"568"	0	1.70949060635947	0.879	0.54	0	"12"	"Islr"
"569"	0	1.61143849047048	0.837	0.664	0	"12"	"Il33"
"570"	0	1.53461958823067	0.776	0.292	0	"12"	"Nbl1"
"571"	0	1.49942423692935	0.667	0.302	0	"12"	"Lbp"
"572"	0	1.4270245238633	0.739	0.374	0	"12"	"Cav1"
"573"	0	1.42304077707527	0.775	0.445	0	"12"	"Itga6"
"574"	0	1.36942401778583	0.52	0.245	0	"12"	"Crabp2"
"575"	0	1.3623986562696	0.612	0.351	0	"12"	"Gm12840"
"576"	0	1.33431012901087	0.79	0.506	0	"12"	"Lamb2"
